name,category,city,country,lat,lng,website,specialty,price,price_low,price_high,accreditations,established,trust_score,tier,tier_label,coast,trust_signals,red_flags,defunct,evidence,accreditation,transparency,track_record,safety
Seegarten Clinic - Longevity Center Zurich,Life Extension / Longevity,Kilchberg,Switzerland,47.322,8.543,https://www.sgk.swiss/en/longevity-center-zurich.html,"Cause-oriented preventive medicine, longevity check-ups","Check-ups ~$920-2,300; programs higher",920,8000,Swiss-licensed medical clinic (Canton Zurich),recent focus,69,B,Reputable · Do Your Diligence,Lake Zurich - Mediterranean via Genoa ~330 km,Transparent check-up pricing; physician-led; prevention-focused (no miracle-cure marketing),'Longevity' programs still rest on standard preventive medicine; limited outcome data,False,16,16,13,11,13
Hermest Clinic,Hair Transplant,Istanbul,Turkey,40.996,28.9715,https://www.hermestclinic.com/,"FUE, Sapphire FUE, DHI","All-inclusive ~$2,000-4,000",2000,4000,Turkish MoH,2010s,68,B,Reputable · Do Your Diligence,Bosphorus - Galataport,Transparent published price pages; all-inclusive packages,No prominently named lead surgeon; tourism-volume model,False,27,11,10,9,11
Medart Hair,Hair Transplant,Istanbul,Turkey,41.0218,28.9752,https://www.medarthair.com/,"FUE, Sapphire FUE, DHI","All-inclusive ~$2,000-3,500",2000,3500,Turkish MoH,2010s,68,B,Reputable · Do Your Diligence,Bosphorus - Galataport,Publishes useful Turkish law/regulation education content,No named star surgeon; volume model,False,27,11,10,9,11
Eliava Phage Therapy Center,Phage Therapy,Tbilisi,Georgia,41.7151,44.8271,https://eptc.ge/,Personalized bacteriophage therapy; in-clinic + distance courses,Low thousands per course (on request),1500,6000,Clinical arm of the G. Eliava Institute (state research institute),institute since 1923,68,B,Reputable · Do Your Diligence,Black Sea via Batumi ~370 km,Most legitimate name in phage tourism; world's largest phage library; peer-reviewed case series,Efficacy claims outpace controlled trials; mailing phages internationally is dubious; unlicensed in West,False,17,14,11,14,12
Estenove,Hair Transplant,Istanbul,Turkey,41.0125,28.9917,https://www.estenove.com/,"FUE, Sapphire FUE, DHI, beard/eyebrow","All-inclusive ~$2,000-4,000",2000,4000,Turkish MoH,2010s,67,B,Reputable · Do Your Diligence,Bosphorus - Galataport,All-inclusive packages; personalized planning; multilingual coordination,No prominently named lead surgeon; standard high-volume model,False,27,11,9,9,11
Istanbul Vita,Hair Transplant,Istanbul,Turkey,41.0003,28.99,https://istanbulvita.com/,"Sapphire FUE (Vita zoning), DHI","All-inclusive ~$2,000-4,000",2000,4000,Turkish MoH,2010s,67,B,Reputable · Do Your Diligence,Bosphorus - Galataport,Structured donor-analysis methodology; all-inclusive packages,No prominently named lead surgeon; technique branding is marketing,False,27,11,9,9,11
Hayatmed Clinic,Hair Transplant,Istanbul,Turkey,41.0062,28.9645,https://www.hayatmed.com/,"FUE, DHI, Sapphire + plastic surgery","All-inclusive ~$1,900-3,500",1900,3500,Turkish MoH,since 2016,67,B,Reputable · Do Your Diligence,Bosphorus - Galataport,All-inclusive packages; multi-specialty facility; published price guides,Multi-specialty tourism operator; no prominently named hair surgeon,False,27,11,9,9,11
Dental Art Tijuana,Dentistry,Tijuana,Mexico,32.5145,-117.0211,https://www.dentalarttijuana.com/,"Implants, crowns, veneers, root canals",Crown $450; implant $765; root canal $260-300,80,765,None listed (continuing education only),unknown,66,B,Reputable · Do Your Diligence,Pacific - minutes from San Ysidro,Transparent published price list; in-house lab; US phone line,No accreditations or dentist credentials named; marketing-heavy,False,28,9,11,8,10
Thermes Marins Monte-Carlo,Life Extension / Longevity,Monaco,Monaco,43.7384,7.4246,https://www.thermesmarinsmontecarlo.com,"Preventive-health medical spa, diagnostics, thalasso","Programs ~$2,000-10,000+ + accommodation",2000,10000,Monaco SBM group; medical team of doctors/nutritionists,since 1895,65,B,Reputable · Do Your Diligence,"Mediterranean - Port Hercule, Monaco (ideal embarkation)",Long institutional heritage; multidisciplinary medical/sports team; 7-pillar framework,"Thalasso/'wellbeing' claims are relaxation-grade, not life-extension; resort pricing",False,12,15,12,13,13
Longevity Center Switzerland (Zurich),Life Extension / Longevity,Zurich,Switzerland,47.3769,8.5417,https://longevity-center.eu/longevity-center-switzerland/,"Longevity diagnostics, biomarker/bio-age panels, IHHT","Packages ~$3,000-15,000+ (quote-based)",3000,15000,Swiss-licensed; European Longevity Center network,2020s,65,B,Reputable · Do Your Diligence,Lake Zurich - Mediterranean via Genoa ~330 km,Board-certified medical director; structured biomarker evaluation; science-based positioning,Many modalities improve short-term biomarkers only; no proof of lifespan benefit,False,15,16,12,9,13
LUXE Dental,Dentistry,Playas de Rosarito,Mexico,32.3514,-117.0473,https://luxedentalrosarito.com/,"Implantology, All-on-4/6, aesthetics, 11 specialties",Quote on request; membership savings,300,9000,Named specialist dentists; no boards listed,since ~2023,64,C,Proceed With Caution,Pacific beachfront - 30 min from San Diego,Modern facility; 11 specialties under one roof; same-day crown tech,Very new; no online prices; limited review history,False,28,11,9,6,10
Dental Jardon,Dentistry,Playas de Rosarito,Mexico,32.3629,-117.0707,https://dentaljardon.com/,"Implants, crowns, ortho, endo, surgery, IV sedation",Quote on request,300,9000,States specialists 'certified'; none named,unknown,63,C,Proceed With Caution,Pacific - near the beach,Same-day treatment; own patient transport; IV sedation,No price list; no named accreditations; thin bios,False,28,10,7,8,10
LaCLINIQUE of Switzerland (Lugano),Life Extension / Longevity,Lugano,Switzerland,46.0037,8.9511,https://www.lacliniqueofswitzerland.ch,"Aesthetic/regenerative, autologous stem-cell anti-aging","Programs ~$3,000-20,000+",3000,20000,Swiss-licensed; GMP cell-processing lab in Zurich,2000s,61,C,Proceed With Caution,Lake Lugano - Mediterranean via Genoa ~190 km,GMP-regulated cell processing; licensed surgeons; defined pathway for autologous cells,Primarily aesthetic surgery with a 'longevity' overlay; anti-aging cell claims exceed evidence,False,12,15,11,11,12
IOZK - Immun-Onkologisches Zentrum Koln,Alt./Immuno Cancer,Cologne,Germany,50.9375,6.9603,https://www.iozk.de/en/,Individualized multimodal immunotherapy (dendritic vaccine + NDV + hyperthermia),Tens of thousands EUR (on request),25000,80000,German section-13 AMG manufacturing license for its vaccine; GMP lab,since 1985,60,C,Proceed With Caution,North Sea via Rhine to Rotterdam ~230 km,"More scientifically serious than most: real manufacturing license, published clinical experience",EXPERIMENTAL; evidence is uncontrolled single-institution case series; out-of-pocket,False,12,15,10,12,11
Estetica Dental y Ortodoncia,Dentistry,Mexicali,Mexico,32.6142,-115.4428,https://esteticadentalyortodoncia.com/,"Implants, maxillofacial surgery, ortho, endo, perio",Free estimates; quote on request,300,9000,None specifically listed; named dentists,site since 2023,60,C,Proceed With Caution,Inland - not sailing-accessible,"Digital radiography, laser; lists US insurer acceptance; US toll-free line",Website has placeholder 'lorem ipsum' text - credibility caution,False,28,9,6,7,10
Chenot Palace Weggis,Life Extension / Longevity,Weggis,Switzerland,47.0325,8.434,https://www.chenot.com/chenot-palace/weggis/,"Medical spa/detox (Chenot Method), diagnostics","From ~EUR 1,200/day; 7-night ~$9,000-34,000+",9000,34000,Swiss-licensed medical spa; 'best detox' awards,property 2020,59,C,Proceed With Caution,Lake Lucerne - Mediterranean via Genoa ~300 km,"On-site medical team + diagnostics; structured 5,000 sqm medi-spa; physician oversight",'Detox' is a marketing construct; bioenergetics blend; limited peer-reviewed evidence,False,11,14,11,11,12
Swiss Center for Health & Longevity,Life Extension / Longevity,Zollikon,Switzerland,47.3405,8.576,https://health-longevity-center.com,"Preventive & functional medicine, longevity diagnostics","Assessments ~$3,000-15,000+",3000,15000,Swiss-licensed private center,2020s,59,C,Proceed With Caution,Lake Zurich - Mediterranean via Genoa ~330 km,Physician-led preventive model; structured diagnostics; Lake Zurich setting,Functional-medicine tests/supplements of limited evidentiary value; newer entrant,False,13,14,11,9,12
Nexus Clinic KL,Exosomes / Regenerative,Kuala Lumpur,Malaysia,3.139,101.6869,https://www.nexus-clinic.com/regenerative/stem-cell-therapy-malaysia/,"UC-MSC stem cell IV, exosome-enhanced, hormones","MSC RM15,000-75,000 ($3,400-17,000)",3400,17000,MOH-compliant sources; MMC-registered doctors; accredited labs,unknown,56,C,Proceed With Caution,Inland - Port Klang / Port Dickson marina ~1.5 hr,"Most clinically literate site: cites evidence levels, references, 'avoid absolute-cure claims'",EXPERIMENTAL; anti-aging cell indications remain investigational; allogeneic donor cells,False,10,13,14,9,10
Cervantes Dermcenter,Exosomes / Regenerative,Manila,Philippines,14.5547,121.0244,https://cervantesclinic.com/exosomes,"Exosome skin/hair (ASCE+) via microneedle, laser",Exosome facial ~$150-400,150,400,Board-certified dermatologists; Korean ASCE+ product,site 2022,56,C,Proceed With Caution,Manila Bay - Manila Yacht Club,Most evidence-cautious PH site: states injectables 'not FDA approved'; lists references,"EXPERIMENTAL; ASCE+ is a cosmetic-grade product, not an approved drug",False,10,13,13,9,11
SOMA Aesthetics & Longevity Club,Exosomes / Regenerative,Bali,Indonesia,-8.8291,115.0849,https://www.somalongevityclub.com/exosome-therapy-bali,"Autologous + GMP exosomes, PRP, IV, secretome",Exosomes from $460; autologous $490-735,185,735,Licensed Klinik Utama; GMP Korean exosomes; MBChB physician,unknown,54,C,Proceed With Caution,Uluwatu coast - Benoa Harbour ~45 min (sailing fit),Most transparent pricing; cites PMIDs; discusses cold-chain/sourcing; warns of fake exosomes,EXPERIMENTAL; 'autologous exosome' extraction claim exceeds what a centrifuge can isolate,False,10,13,13,8,10
Klinik St. Georg (Bad Aibling),Alt./Immuno Cancer,Bad Aibling,Germany,47.8642,12.0104,https://www.klinik-st-georg.de/en/,"Integrative oncology - hyperthermia, IPT low-dose chemo, PDT",Multi-week packages tens of thousands,20000,60000,Licensed German specialist hospital (internal med/oncology),since 1987,53,C,Proceed With Caution,Landlocked Bavaria - Adriatic via Trieste ~400 km,Licensed inpatient hospital; hyperthermia is a real adjunct in specific settings,EXPERIMENTAL; IPT low-dose chemo & 'integrative' package lack robust efficacy evidence,False,10,13,9,11,10
Healthi Life (Urban Longevity House),Exosomes / Regenerative,Bangkok,Thailand,13.7563,100.5018,https://healthi-life.com/services/exosome-therapy-bangkok,"MSC exosome IV, facial, hair; stem cell; NAD+/peptide","Exosome IV ~$1,000-4,300; stem cell from ~$12,000",1000,12000,GMP/ISO partner labs (claimed); named physicians,unknown,53,C,Proceed With Caution,Gulf of Thailand - Pattaya marinas ~2 hrs,Unusually candid: states exosome therapy is investigational & not FDA-approved; transparent pricing,EXPERIMENTAL / not FDA-approved; uses cosmetic exosome brand; award is promotional,False,10,12,13,8,10
The Longevity Suite (Lugano),Life Extension / Longevity,Lugano,Switzerland,45.9934,8.9606,https://thelongevitysuite.com/en/centres/lugano/,"Biohacking, cryotherapy, ozone/IV, check-ups","Sessions/bundles ~$1,000-10,000+",1000,10000,Registered Swiss medical practice (Ticino),brand since ~2018,53,C,Proceed With Caution,Lake Lugano - Mediterranean via Genoa ~190 km,Physician-supervised check-ups; standardized protocols across a chain,Core 'biohacking' stack has no proven lifespan benefit; retail-wellness positioning,False,10,12,10,10,11
Asia Stem Cell Center,Exosomes / Regenerative,Jakarta,Indonesia,-6.2088,106.8456,https://asiastemcellcenter.com/,"GMP lab: exosome, secretome, NK, MSC for skin/organ",Quote on consult,2000,20000,MoH operational permit; GMP-certified processing lab,since ~2019,52,C,Proceed With Caution,Java Sea coast - Ancol marina,Genuine GMP cell-manufacturing lab w/ MoH permit; hospital partnership; publishes research,EXPERIMENTAL; markets stem cells for autism/stroke/Parkinson's - claims outrun approval,False,9,14,10,10,9
Phage Therapy Center,Phage Therapy,Tbilisi,Georgia,41.7048,44.8366,https://www.phagetherapycenter.com/,Commercial phage therapy for international patients,Among pricier phage options (on request),3000,12000,Private commercial clinic sourcing Georgian phages,since 2004,52,C,Proceed With Caution,Black Sea via Batumi ~370 km,Long operating history; large self-reported patient volume (120+ countries),Marketing-heavy ('95%+ success') with non-peer-reviewed stats; less academically anchored than Eliava,False,15,9,7,11,10
Revival Clinic Bangkok,Exosomes / Regenerative,Bangkok,Thailand,13.746,100.5113,https://www.revivalclinicbangkok.com/,"Exosome IV/facial/hair, stem cell, plasma, NAD+","Exosome IV ~$900-1,400; stem cell several $k",900,4000,Thai-physician-led; marketing awards,since ~2013,51,C,Proceed With Caution,Gulf of Thailand - Pattaya marinas ~2 hrs,Transparent published pricing; doctor-led; 'we don't jump to unproven treatments' messaging,EXPERIMENTAL; awards are pay-to-enter; young-blood plasma offering outside proven medicine,False,9,11,11,10,10
Medeze Medical (Vietnam),Exosomes / Regenerative,Ho Chi Minh City,Vietnam,10.8231,106.6297,https://medezemedical.vn/en/ve-chung-toi/,"Stem cell, NK cell, cell-level anti-aging, PRP, NAD+","Custom quote (region $1,750-68,000)",1750,68000,MoH-licensed model; named medical director; Japanese advisors,since ~2021,51,C,Proceed With Caution,Saigon River - Vung Tau coast ~2 hrs,Regional group w/ lab & advisory infrastructure; named credentialed physicians,EXPERIMENTAL; NK-cell & anti-aging claims unproven; celebrity-doctor marketing; opaque pricing,False,9,13,9,10,10
NuLook Clinic,Exosomes / Regenerative,Bali,Indonesia,-8.705,115.175,https://nulook.co.id/services/nu-capture-youth-booster,"Exosome facial/skin, SVF stem cell, PRP, aesthetics",Exosome from ~$185/cc,185,2000,Licensed aesthetic/plastic-surgery clinic,exosome page 2024,51,C,Proceed With Caution,Legian beachfront - Benoa yacht harbour ~30-40 min,Clear pricing; medical disclaimer; named doctors; established multi-service Bali clinic,EXPERIMENTAL; exosome as topical 'booster' (weakest evidence tier); sourcing undisclosed,False,9,11,11,10,10
Stem Cell Institute (Panama),Stem Cell,Panama City,Panama,8.9824,-79.5199,https://www.cellmedicine.com/,"UC-MSC 'Golden Cells' IV/local for autism, MS, OA, anti-aging","~$20,000-30,000+ per protocol",20000,30000,Panama-operated; affiliated Medistem lab; not FDA-approved,since ~2007,51,C,Proceed With Caution,Pacific - Panama Canal / Balboa port (sailing fit),One of the most prominent stem-cell destinations; some pilot work; higher profile than most,UNPROVEN; broad disease claims exceed proven indications; FDA/ISSCR warn against this marketing,False,8,13,9,12,9
LYFE Medical Wellness,Exosomes / Regenerative,Phuket,Thailand,7.8804,98.34,https://www.lyfemedical.com/regenerative-medicine/exosome-therapy/,"MSC exosome IV + injection, UC-MSC, PRP, NAD+, HBOT","Exosome IV ~$1,000-3,000 (quote-based)",1000,3000,Physician licensed by Medical Council of Thailand,unknown,50,C,Proceed With Caution,"Phuket - Andaman Sea, direct marina access (sailing fit)",Physician-led; two named clinics; honest 'we advise what evidence supports' language,EXPERIMENTAL; prices gated behind consult; broad indication list; allogeneic exosomes,False,10,12,10,8,10
Clinique Lemana,Life Extension / Longevity,Le Mont,Switzerland,46.4869,6.8447,https://lemana.com,"Revitalization (organ-extract injections), detox, epigenetics",On request (typically low-to-mid 5 figures),8000,40000,Swiss-licensed; references some device approvals,since 1952,50,C,Proceed With Caution,Lake Geneva - Mediterranean via Genoa ~270 km,70-yr operating history; physician-supervised; epigenetic bio-age testing,Core organ-extract injections biologically implausible; markets bioresonance/'Metatron' pseudoscience,False,8,12,8,12,10
Cell Quest (Gleneagles KL),Exosomes / Regenerative,Kuala Lumpur,Malaysia,3.1402,101.673,https://cellquest.com.my/,"Stem-cell infusion, exosome, NK cancer immuno, NAD+","Cell therapy RM8,000-80,000 (on consult)",1800,18000,Delivered at JCI-accredited Gleneagles Hospital KL,since ~2015,49,D,High Risk · Experimental,Inland - Port Klang / Port Dickson ~1.5 hr,Hospital-based delivery (Gleneagles); allergy/immunology clinician backing,EXPERIMENTAL; testimonials claim stroke/liver/psoriasis recovery - cure-adjacent overreach,False,9,13,8,9,10
The M.A.C. Clinic,Exosomes / Regenerative,Kuala Lumpur,Malaysia,3.1287,101.6964,https://www.mac-clinic.my/exosome,Exosome skin & hair (injection/topical/combo),Quote on consult (region ~$300-900),300,900,Aesthetic-doctor-led; multi-branch KL brand,unknown,47,D,High Risk · Experimental,Inland - Port Klang / Port Dickson ~1.5 hr,Well-known multi-location KL aesthetics group; doctor-administered,EXPERIMENTAL; light on sourcing/evidence; purely aesthetic framing,False,8,11,9,10,9
DNA Health & Wellness (Dubai),Gene / Other Fringe,Dubai,UAE,25.1945,55.2803,https://dnahealthcorp.com/,"Longevity IV - NAD+, ozone, peptides, exosomes, HBOT",On request,3000,20000,UAE-licensed wellness clinic,unknown,47,D,High Risk · Experimental,Persian Gulf - Dubai marinas (sailing fit),Physician-staffed licensed clinic in a high-end medical-tourism hub,UNPROVEN; NAD+/ozone/exosome anti-aging claims unproven; ozone & exosomes drew FDA alerts,False,8,12,9,9,9
Paracelsus Clinic Lustmuhle,Life Extension / Longevity,Teufen,Switzerland,47.382,9.386,https://www.paracelsus.com,"'Biological medicine', integrative, cancer support","Programs ~$5,000-20,000+",5000,20000,Swiss-licensed clinic; integrative reputation,since 1958,47,D,High Risk · Experimental,Appenzell foothills - Lake Constance ~30 km,One-campus multidisciplinary team; decades of operation,'Rebuilds body cell by cell' + alt cancer claims unsupported; 'results you can't get anywhere else',False,7,11,8,12,9
DVC Stem,Stem Cell,George Town,Cayman Islands,19.2866,-81.3744,https://www.dvcstem.com/,"IV allogeneic UC-MSC (300M+ cells) for anti-aging, autoimmune, neuro","~$25,000 (up to ~$45,000)",25000,45000,Cayman 'IRB-approved' protocol; cells from a US cGMP lab,since ~2016,47,D,High Risk · Experimental,Caribbean - Seven Mile Beach / George Town port (sailing fit),cGMP-sourced cells; markets an ethics/IRB framework,UNPROVEN; scientists (P. Knoepfler) flag it as marketing unproven therapy; 'IRB' is not efficacy,False,7,12,9,10,9
ProgenCell - Stem Cell Therapies,Stem Cell,Tijuana,Mexico,32.5401,-117.0263,https://progencell.com/,"Autologous & allogeneic MSC for MSK, autoimmune, metabolic",Varies by protocol (on request),8000,30000,COFEPRIS-compliant (MX regulator); not FDA-approved,since 2008,47,D,High Risk · Experimental,Pacific - near San Diego border,Regulator-registered; long operating history; near US border,UNPROVEN; broad indications without controlled-trial support; FDA safety concerns apply,False,7,12,8,11,9
Hallwang Clinic,Alt./Immuno Cancer,Dornstetten,Germany,48.4667,8.4956,https://www.hallwang-clinic.com/en/,"'Personalized' experimental immunotherapy, off-label checkpoint inhibitors, hyperthermia",">$120,000; ~80% deposit up-front",120000,250000,German private clinic license; treatments largely off-label,since ~2011,43,D,High Risk · Experimental,Inland Black Forest - Mediterranean (Genoa) ~450 km,Uses some real drug classes administered by licensed physicians,EXPERIMENTAL; no published survival data; extreme cost; largest drain on UK cancer crowdfunding,False,8,11,6,10,8
Idara Aesthetics,Exosomes / Regenerative,Manila,Philippines,14.5444,121.0339,https://idara.ph/exosomes-exoten-for-skin-glow-advanced-regenerative-facial-treatment/,"Exosome facial ('Exoten', amniotic) for skin glow",~$60-200/session,60,200,Medically guided; distributor-exclusive product,unknown,43,D,High Risk · Experimental,Manila Bay - Manila Yacht Club,Large branch network; medical-supervision framing; cites literature,EXPERIMENTAL; mall-based medi-spa scale; amniotic exosome sourcing questions,False,8,9,8,9,9
Plenary Longevity Wellness,Exosomes / Regenerative,Phuket,Thailand,7.8701,98.3495,https://plenarywellness.com/en/cellular-therapy-with-exosome/,"Exosome IV + injection, stem cell, NK, placenta, NAD+","Quote-based (~$1,000-3,500/session)",1000,3500,Licensed physician-led; multilingual,site since ~2023,42,D,High Risk · Experimental,Nai Harn coast - Chalong Bay marina (sailing fit),Detailed pre/post protocols; honest 'what exosome therapy does NOT do' section,"EXPERIMENTAL; full menu of unproven modalities (NK, placenta); opaque pricing",False,8,10,8,8,8
RCERT (Regional Cell Research & Therapy Centre),Exosomes / Regenerative,Kuala Lumpur,Malaysia,3.1476,101.698,https://rcertherapeutics.com/therapies-for-exosome/,"MSC exosome IV/injection/scalp, MSC infusion, NK, HBOT",Quote on consult,2000,20000,Registered biotech; cGMP labs (claimed); UNIMAS + China ties,since 2024,41,D,High Risk · Experimental,Inland - Port Klang / Port Dickson ~1.5 hr,Research-company framing; named professors; flags neuro use as 'investigational',EXPERIMENTAL; very new (2024); China cell-tech partner; broad anti-aging/immune claims,False,8,11,8,6,8
GARM Clinic (Roatan),Stem Cell,Roatan,Honduras,16.34,-86.53,https://www.garmclinic.com/,"Adipose (fat-derived) stem cells, 'biocellular' regenerative",On request,10000,40000,Honduran clinic; US board-certified surgeons on staff,2010s,41,D,High Risk · Experimental,Caribbean island - Parrot Tree marina (sailing fit),US-trained surgeons; established island facility,UNPROVEN; testimonial-driven marketing; offshore to avoid FDA; also a Minicircle gene-therapy site,False,6,11,7,9,8
Verita Life (Bangkok),Alt./Immuno Cancer,Bangkok,Thailand,13.7575,100.4879,https://veritalife.com/,"Multimodal integrative oncology - hyperthermia, immuno, metabolic",Multi-week packages tens of thousands,20000,60000,Private integrative clinic group,first clinic 2014,39,D,High Risk · Experimental,Gulf of Thailand via Laem Chabang ~100 km,Organized international group; hyperthermia has limited evidence,EXPERIMENTAL; core 'integrative' package lacks controlled-trial efficacy; no published outcomes,False,6,10,7,9,7
Boston Health Longevity,Exosomes / Regenerative,Chiang Mai,Thailand,18.7883,98.9853,https://bostonhealthlongevity.com/longevity-library/treatments/exosome-therapy,"Exosome IV & injection, stem cell, NAD+, DNA-age test","30-70% below Western (~$1,000-3,500)",1000,3500,None specific published,unknown,38,D,High Risk · Experimental,Chiang Mai inland (use Phuket branch for sailing),Positions around measurable biomarkers (methylation testing); two locations,EXPERIMENTAL; heavy '#1' superlatives; thin verifiable accreditation,False,8,8,6,8,8
Jakarta Stemcell Centre,Exosomes / Regenerative,Jakarta,Indonesia,-6.2191,106.8551,https://jakartastemcellcentre.id/,"Allograft regenerative, secretome/EV, UC & amniotic MSC",Quote on consult,2000,20000,Not verifiable from live page,unknown,37,D,High Risk · Experimental,Java Sea coast - Ancol marina,Focus on cell-free secretome/EV therapy; established local brand,EXPERIMENTAL; minimal public transparency - accreditation/pricing/physician unverifiable,False,8,9,5,7,8
Biothera Stemcell Clinic,Exosomes / Regenerative,Jakarta,Indonesia,-6.108,106.74,https://www.biotherastemcell.id/en,Stem cell + secretome + exosome + NK; anti-aging,Quote on consult,2000,20000,Delivered at 'BPOM-licensed clinics'; named specialists,site 2025,36,D,High Risk · Experimental,Java Sea (PIK) coast - Ancol/PIK marina,Named specialist physicians; positions as medically supervised,"EXPERIMENTAL; very broad disease claims (Parkinson's, ALS, cancer via NK); placeholder socials",False,7,9,6,7,7
Hope4Cancer,Alt./Immuno Cancer,Tijuana,Mexico,32.5247,-117.0052,https://hope4cancer.com/,"'Non-toxic integrative' - sonodynamic/PDT, IV vitamin C, ozone, coffee enemas","~$45,000-60,000 for 3-week program",45000,60000,Licensed Mexican (COFEPRIS) non-surgical hospital,since 2000,34,E,Discredited / Avoid,Pacific - Playas de Tijuana on the coast,Licensed facility; inpatient care,DISCREDITED APPROACH; core modalities have zero credible cancer efficacy; funded via crowdfunding of desperate patients,False,4,9,6,10,5
R3 Stem Cell Philippines,Exosomes / Regenerative,Quezon City,Philippines,14.676,121.0437,https://r3stemcell.com/philippines/,"UC-MSC + exosome via IV, injection, intrathecal","From ~$5,250",5250,20000,US-HQ franchise; claims 'exceeds FDA QA' (not approval),PH program recent,34,E,Discredited / Avoid,Manila Bay - Manila Yacht Club,"High procedure volume; structured intake; states therapy is 'experimental, not FDA-approved'",EXPERIMENTAL - STRONGEST RED FLAGS: markets cells for autism/ALS/stroke/CP with emotive testimonials,False,6,8,6,9,5
Exosomes Thailand,Exosomes / Regenerative,Chiang Mai,Thailand,18.778,98.9948,https://exosomesthailand.com/,Exosome IV therapy & injection,"Region ~$1,000-3,000",1000,3000,Not verifiable from site,unknown,34,E,Discredited / Avoid,Chiang Mai - landlocked,Domain focused solely on exosomes,EXPERIMENTAL; '#1' branding; near-zero hard content or licensing/pricing transparency,False,8,7,5,6,8
Immunity Therapy Center,Alt./Immuno Cancer,Tijuana,Mexico,32.5218,-117.0311,https://www.immunitytherapycenter.com/,"'Natural/alternative' cancer program - IV, ozone/oxygen, off-label","3-week from ~$18,995 (inpatient ~$30,000)",18995,30000,Licensed Mexican clinic (COFEPRIS),since ~2007,33,E,Discredited / Avoid,Pacific - Tijuana coast,Licensed; more affordable than German clinics,HIGH RISK; positions unproven therapies as alternatives to chemo/radiation - real danger of forgoing effective care,False,4,9,7,8,5
Oasis of Hope Hospital,Alt./Immuno Cancer,Tijuana,Mexico,32.5415,-117.014,https://www.oasisofhope.com/,"Faith-based integrative oncology - Laetrile/'B17', IPT, ozone, vitamin C","~$20,000-40,000 for ~3-week program",20000,40000,Licensed Mexican hospital; long-running,since 1963,32,E,Discredited / Avoid,Pacific - Playas ~10 km,Longevity and licensure; offers some conventional care alongside,DISCREDITED; built on Laetrile - NCI/FDA confirm no anticancer activity + cyanide-poisoning deaths,False,2,9,6,11,4
CMN Hospital (Alt. Cancer),Alt./Immuno Cancer,San Luis Rio Colorado,Mexico,32.4539,-114.7722,https://www.cmnalternativecancertreatment.com/,Alternative/integrative protocols for advanced cancers,"~$25,000-45,000 (on request)",25000,45000,Licensed full-service Mexican hospital,unknown,32,E,Discredited / Avoid,Sea of Cortez via Puerto Penasco ~210 km,Full-service licensed hospital setting,HIGH RISK; unproven 'alternative cancer' protocols marketed to advanced/terminal patients; no outcome data,False,4,10,5,8,5
Minicircle (Prospera),Gene / Other Fringe,Roatan,Honduras,16.3297,-86.5205,https://minicircle.io/,Non-viral plasmid gene therapy - Follistatin for muscle/'epigenetic age',"~$25,000 (follistatin)",25000,25000,"None - states therapies are investigational, not FDA-reviewed",since ~2020,31,E,Discredited / Avoid,Caribbean island (Prospera zone),Oddly transparent that it is investigational; high-profile backers,ETHICALLY CONTESTED; single-arm company data; scientists warn follistatin could risk cancer/liver failure; regulatory arbitrage,False,5,7,8,6,5
Bio-Medical Center (Hoxsey),Alt./Immuno Cancer,Tijuana,Mexico,32.5154,-117.0132,https://www.hoxseybiomedical.com/,"Hoxsey herbal 'tonic', escharotic pastes, diet, chelation","~$4,000-5,000 initial + supplements",4000,8000,Licensed Mexican clinic; therapy FDA-banned in US,since 1963,28,E,Discredited / Avoid,Pacific - Tijuana coast,Historical continuity only,DISCREDITED QUACKERY; Hoxsey FDA-banned 1960 as 'worthless'; escharotic pastes cause tissue damage,False,1,7,6,11,3
Ambrosia ('young plasma') - cautionary case,Gene / Other Fringe,"Naples, FL",USA,26.1317,-81.7853,https://en.wikipedia.org/wiki/Ambrosia_(company),Young-donor plasma transfusion to 'reverse aging' (DEFUNCT),"Was $8,000/L; halted 2019",8000,12000,None meaningful,2016-2019 (defunct),18,E,Discredited / Avoid,N/A (defunct),Included as the canonical 'young plasma' cautionary tale,FDA-WARNED 2019: no proven benefit + infectious/cardiovascular risks; company halted treatments,True,2,4,5,4,3
